cluster,kwh_ann_tot,customer_count,util,sector,building_type,rate_class,kwh_bin,kw_bin
sdge-com-SDG1-com_other-noKW-nonCare-0.9_1.0,2251917584.18,3569,sdge,com,com_other,nonCare,0.9_1.0,noKW
sdge-com-SDG1-office-50_200kW-nonCare-0.0_0.1,12553600.7097,234,sdge,com,office,nonCare,0.0_0.1,50_200kW
sdge-com-SDG1-office-50_200kW-nonCare-0.1_0.2,27814946.9099,234,sdge,com,office,nonCare,0.1_0.2,50_200kW
sdge-com-SDG1-office-50_200kW-nonCare-0.2_0.3,36105077.3822,233,sdge,com,office,nonCare,0.2_0.3,50_200kW
sdge-com-SDG1-office-50_200kW-nonCare-0.3_0.4,43230394.5323,234,sdge,com,office,nonCare,0.3_0.4,50_200kW
sdge-com-SDG1-office-50_200kW-nonCare-0.4_0.5,51858744.9828,234,sdge,com,office,nonCare,0.4_0.5,50_200kW
sdge-com-SDG1-office-50_200kW-nonCare-0.5_0.6,61266518.1724,233,sdge,com,office,nonCare,0.5_0.6,50_200kW
sdge-com-SDG1-office-50_200kW-nonCare-0.6_0.7,72606404.8755,234,sdge,com,office,nonCare,0.6_0.7,50_200kW
sdge-com-SDG1-office-50_200kW-nonCare-0.7_0.8,86062472.7841,233,sdge,com,office,nonCare,0.7_0.8,50_200kW
sdge-com-SDG1-office-50_200kW-nonCare-0.8_0.9,111533362.175,234,sdge,com,office,nonCare,0.8_0.9,50_200kW
sdge-com-SDG1-office-50_200kW-nonCare-0.9_1.0,173751871.46400002,234,sdge,com,office,nonCare,0.9_1.0,50_200kW
sdge-com-SDG1-office-lt50kW-Care-0.0_0.25,46284.6194855,63,sdge,com,office,Care,0.0_0.25,<50kW
sdge-com-SDG1-office-lt50kW-Care-0.25_0.5,204273.111105,63,sdge,com,office,Care,0.25_0.5,<50kW
sdge-com-SDG1-office-lt50kW-Care-0.5_0.75,631569.933007,63,sdge,com,office,Care,0.5_0.75,<50kW
sdge-com-SDG1-office-lt50kW-Care-0.75_1.0,3858657.6264400003,63,sdge,com,office,Care,0.75_1.0,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.0_0.1,836456.386027,7212,sdge,com,office,nonCare,0.0_0.1,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.1_0.2,9509241.18887,7211,sdge,com,office,nonCare,0.1_0.2,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.2_0.3,21921908.0578,7211,sdge,com,office,nonCare,0.2_0.3,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.3_0.4,32296357.1408,7214,sdge,com,office,nonCare,0.3_0.4,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.4_0.5,45197992.0342,7209,sdge,com,office,nonCare,0.4_0.5,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.5_0.6,63225100.7205,7213,sdge,com,office,nonCare,0.5_0.6,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.6_0.7,92591213.0856,7210,sdge,com,office,nonCare,0.6_0.7,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.7_0.8,143230565.928,7211,sdge,com,office,nonCare,0.7_0.8,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.8_0.9,240209874.147,7211,sdge,com,office,nonCare,0.8_0.9,<50kW
sdge-com-SDG1-office-lt50kW-nonCare-0.9_1.0,681595658.523,7212,sdge,com,office,nonCare,0.9_1.0,<50kW
sdge-com-SDG1-office-gt200kW-nonCare-0.0_1.0,2713015458.46,732,sdge,com,office,nonCare,0.0_1.0,>200kW
sdge-com-SDG1-retail-50_200kW-nonCare-0.0_0.1,15027212.0037,158,sdge,com,retail,nonCare,0.0_0.1,50_200kW
sdge-com-SDG1-retail-50_200kW-nonCare-0.1_0.2,26269497.7161,157,sdge,com,retail,nonCare,0.1_0.2,50_200kW
sdge-com-SDG1-retail-50_200kW-nonCare-0.2_0.3,33564805.728,158,sdge,com,retail,nonCare,0.2_0.3,50_200kW
sdge-com-SDG1-retail-50_200kW-nonCare-0.3_0.4,39316173.5418,157,sdge,com,retail,nonCare,0.3_0.4,50_200kW
sdge-com-SDG1-retail-50_200kW-nonCare-0.4_0.5,45310327.5814,158,sdge,com,retail,nonCare,0.4_0.5,50_200kW
sdge-com-SDG1-retail-50_200kW-nonCare-0.5_0.6,51492226.1136,157,sdge,com,retail,nonCare,0.5_0.6,50_200kW
sdge-com-SDG1-retail-50_200kW-nonCare-0.6_0.7,60073146.2296,157,sdge,com,retail,nonCare,0.6_0.7,50_200kW
sdge-com-SDG1-retail-50_200kW-nonCare-0.7_0.8,69592652.294,158,sdge,com,retail,nonCare,0.7_0.8,50_200kW
sdge-com-SDG1-retail-50_200kW-nonCare-0.8_0.9,84417497.4522,157,sdge,com,retail,nonCare,0.8_0.9,50_200kW
