hour_ending,cooling,poolpump,plugload,other,total
7979.0,362.614924067,2332.869504,3938.83919283,9190.62478327,15824.9484042
7980.0,457.693034163,2523.923472,3865.10139444,9018.56992036,15865.287821
7981.0,735.618545847,2347.952712,3965.93524497,9253.84890493,16303.3554077
7982.0,631.673480408,2257.453464,3959.56511724,9238.98527356,16087.6773352
7983.0,558.51133584,2041.260816,3859.72130808,9006.01638552,15465.5098454
7984.0,626.681818022,1704.402504,4096.75765323,9559.10119087,15986.9431661
7985.0,240.388681179,1417.821552,4487.37344997,10470.5380499,16616.1217331
7986.0,189.364953584,990.463992,5755.31388873,13429.0657404,20364.2085747
7987.0,212.620771408,754.1604,5955.52175049,13896.2174178,20818.5203397
7988.0,210.021321658,688.799832,5935.51263672,13849.5294857,20683.8632761
7989.0,171.412129545,553.05096,5748.57484878,13413.3413138,19886.3792521
7990.0,207.207200131,397.191144,5479.07790756,12784.5151176,18867.9913693
7991.0,206.403609499,276.52548,4920.96232545,11482.245426,16886.136841
7992.0,287.862104538,306.691896,4310.15552736,10057.0295638,14961.7390917
7993.0,206.403609499,326.80284,3523.15014234,8220.68366546,12277.0402573
7994.0,206.98418356,251.3868,3085.09099911,7198.54566459,10742.0076473
7995.0,286.348119375,316.747368,2831.22296866,6606.18692687,10040.5053829
7996.0,206.403609499,361.996992,2784.21661916,6496.50544471,9849.12266537
7997.0,208.498168723,356.969256,2702.02583225,6304.72694193,9572.2201989
7998.0,209.462477481,477.63492,2761.04004219,6442.4267651,9890.56420477
7999.0,41.9568125753,879.8538,2813.53810659,6564.92224871,10300.2709679
8000.0,4.61062932563,1151.351544,3148.54668609,7346.60893421,11651.1177936
8001.0,4.61062932563,1407.76608,3608.57215824,8420.00170256,13440.9505701
8002.0,4.61062932563,1935.67836,3952.46493297,9222.41817693,15115.1720992
8003.0,5.19743323124,2332.869504,4198.31238639,9796.06223491,16332.4415585
8004.0,86.7722324749,2523.923472,4029.06328764,9401.14767116,16040.9066633
8005.0,168.933835624,2347.952712,4064.25952896,9483.27223424,16064.4183108
8006.0,168.229670937,2257.453464,3954.99931791,9228.33174179,15609.0141946
8007.0,124.118415725,2041.260816,4107.87172041,9585.03401429,15858.2849664
8008.0,124.118415725,1704.402504,4320.78817338,10081.8390712,16231.1481643
8009.0,124.118415725,1417.821552,5218.36238793,12176.1789052,18936.4812608
8010.0,124.118415725,990.463992,6316.34490645,14738.138115,22169.0654292
8011.0,87.3590363805,754.1604,6550.59349968,15284.7181659,22676.831102
8012.0,87.3590363805,688.799832,6330.02876505,14770.0671184,21876.2547519
8013.0,43.2477811676,553.05096,6341.94230499,14797.8653783,21736.1064245
8014.0,1.9299328451,397.191144,5842.20053232,13631.8012421,19873.1228512
8015.0,1.3431289395,276.52548,4906.00211742,11447.338274,16631.2090003
8016.0,0.521603471649,306.691896,3970.64953656,9264.84891864,13542.7119547
8017.0,0.0,326.80284,3345.67849662,7806.58315878,11479.0644954
8018.0,0.0,251.3868,2928.10349979,6832.24149951,10011.7317993
8019.0,0.0,316.747368,2742.79614137,6399.85766319,9459.40117255
8020.0,0.0,361.996992,2663.15104615,6214.01910769,9239.16714584
8021.0,0.0,356.969256,2827.21713929,6596.83999169,9781.02638698
8022.0,0.0,477.63492,3121.45842603,7283.40299407,10882.4963401
8023.0,0.0,879.8538,3759.87405546,8773.03946274,13412.7673182
8024.0,0.0,1151.351544,3856.19848782,8997.79647158,14005.3465034
8025.0,0.0,1407.76608,3522.28476921,8218.66446149,13148.7153107
8026.0,0.0,1935.67836,3221.37834909,7516.54948121,12673.6061903
8027.0,0.0,2332.869504,2987.58696567,6971.03625323,12291.4927229
8028.0,5.49186478038,2523.923472,3095.67202641,7223.23472829,12848.3220915
8029.0,91.1082635271,2347.952712,3077.22446406,7180.19041614,12696.4758557
8030.0,50.2413816141,2257.453464,3203.27075049,7474.29841781,12985.2640139
8031.0,47.4101274037,2041.260816,3249.30376614,7581.70878766,12919.6834972
8032.0,48.2580100001,1704.402504,4012.3067766,9362.0491454,15127.016436
8033.0,5.39395328871,1417.821552,4849.09549989,11314.5561664,17586.8671716
8034.0,0.0,990.463992,6050.03653065,14116.7519048,21157.2524275
8035.0,0.0,754.1604,6471.90792816,15101.118499,22327.1868272
8036.0,0.0,688.799832,6683.91254061,15595.7959281,22968.5083007
8037.0,0.0,553.05096,6549.33221349,15281.7751648,22384.1583383
8038.0,0.0,397.191144,5961.76989876,13910.7964304,20269.7574732
8039.0,0.0,276.52548,5010.30402465,11690.7093909,16977.5388955
8040.0,0.0,306.691896,3936.25217514,9184.58840866,13427.5324798
8041.0,0.0,326.80284,3237.86772252,7555.02468588,11119.6952484
8042.0,0.0,251.3868,2974.33757628,6940.12101132,10165.8453876
8043.0,0.0,316.747368,2710.55298126,6324.62362295,9351.92397221
8044.0,0.0,361.996992,2593.2586011,6050.93673591,9006.19232901
8045.0,0.0,356.969256,2657.89193899,6201.74785763,9216.60905262
8046.0,0.0,477.63492,3047.51387187,7110.86570103,10636.0144929
8047.0,0.0,879.8538,3671.33361084,8566.44509196,13117.6325028
8048.0,0.0,1151.351544,3765.02190828,8785.05111932,13701.4245716
8049.0,0.0,1407.76608,3475.1139021,8108.5991049,12991.479087
8050.0,0.0,1935.67836,3402.00082833,7938.00193277,13275.6811211
8051.0,0.0,2332.869504,3468.31303791,8092.73042179,13893.9129637
8052.0,12.8668361757,2523.923472,3310.54836141,7724.61284329,13571.9515129
8053.0,49.4316178113,2347.952712,3559.03092501,8304.40549169,14260.8207465
8054.0,50.2548090033,2257.453464,3463.09630671,8080.55804899,13851.3626287
8055.0,41.3837890783,2041.260816,3792.59715486,8849.39336134,14724.6351213
8056.0,3.78910385779,1704.402504,4671.20910267,10899.4879062,17278.8886168
8057.0,0.0521603471649,1417.821552,5473.51079628,12771.5251913,19662.9096999
8058.0,0.521603471649,990.463992,6442.67057796,15032.8980152,22466.5541887
