hour_ending,total,pumping,other
7627.0,719.78477308,575.827818464,143.956954616
7628.0,435.700720109,348.560576087,87.1401440218
7629.0,380.167804333,304.134243466,76.0335608666
7630.0,339.984079321,271.987263457,67.9968158642
7631.0,406.996641971,325.597313577,81.3993283942
7632.0,1000.1877984,800.15023872,200.03755968
7633.0,986.13837751,788.910702008,197.227675502
7634.0,972.436223376,777.948978701,194.487244675
7635.0,965.927452115,772.741961692,193.185490423
7636.0,944.436600664,755.549280531,188.887320133
7637.0,951.00490337,760.803922696,190.200980674
7638.0,961.849548169,769.479638535,192.369909634
7639.0,966.701360893,773.361088714,193.340272179
7640.0,688.451389479,550.761111583,137.690277896
7641.0,860.467498251,688.373998601,172.09349965
7642.0,621.746405959,497.397124767,124.349281192
7643.0,707.938015632,566.350412506,141.587603126
7644.0,703.106046724,562.484837379,140.621209345
7645.0,567.612479128,454.089983302,113.522495826
7646.0,719.715319728,575.772255782,143.943063946
7647.0,731.056059898,584.844847918,146.21121198
7648.0,690.564755757,552.451804606,138.112951151
7649.0,669.996641695,535.997313356,133.999328339
7650.0,679.819330032,543.855464026,135.963866006
7651.0,685.454973441,548.363978753,137.090994688
7652.0,666.14694162,532.917553296,133.229388324
7653.0,622.371486126,497.897188901,124.474297225
7654.0,660.312860063,528.25028805,132.062572013
7655.0,807.921076606,646.336861285,161.584215321
7656.0,781.499037172,625.199229738,156.299807434
7657.0,756.108876109,604.887100887,151.221775222
7658.0,738.924132475,591.13930598,147.784826495
7659.0,871.986832754,697.589466203,174.397366551
7660.0,942.938392645,754.350714116,188.587678529
7661.0,954.368429982,763.494743986,190.873685996
7662.0,936.945560569,749.556448455,187.389112114
7663.0,887.246726351,709.797381081,177.44934527
7664.0,630.824951239,504.659960991,126.164990248
7665.0,586.920510949,469.536408759,117.38410219
7666.0,609.760741807,487.808593446,121.952148361
7667.0,608.986833029,487.189466423,121.797366606
7668.0,613.31278466,490.650227728,122.662556932
7669.0,426.721393902,341.377115122,85.3442787804
7670.0,408.76274149,327.010193192,81.752548298
7671.0,389.901195503,311.920956402,77.9802391006
7672.0,377.965140888,302.37211271,75.5930281776
7673.0,380.634133981,304.507307185,76.1268267962
7674.0,409.645791249,327.716632999,81.9291582498
7675.0,657.127927784,525.702342227,131.425585557
7676.0,600.414305027,480.331444022,120.082861005
7677.0,604.164786028,483.331828822,120.832957206
7678.0,638.226694168,510.581355334,127.645338834
7679.0,975.581468025,780.46517442,195.116293605
7680.0,999.175763847,799.340611078,199.835152769
7681.0,770.39642278,616.317138224,154.079284556
7682.0,755.80129698,604.641037584,151.160259396
7683.0,744.262118661,595.409694929,148.852423732
7684.0,738.467724734,590.774179787,147.693544947
7685.0,714.972647986,571.978118389,142.994529597
7686.0,873.752932273,699.002345818,174.750586455
7687.0,1110.94605082,888.756840656,222.189210164
7688.0,809.201002662,647.36080213,161.840200532
7689.0,666.613271268,533.290617014,133.322654254
7690.0,693.54132798,554.833062384,138.708265596
7691.0,832.438109817,665.950487854,166.487621963
7692.0,760.117326703,608.093861362,152.023465341
7693.0,606.694872418,485.355897934,121.338974484
7694.0,636.014108815,508.811287052,127.202821763
7695.0,657.594257432,526.075405946,131.518851486
7696.0,537.519333953,430.015467162,107.503866791
7697.0,451.119364224,360.895491379,90.2238728448
7698.0,446.92239739,357.537917912,89.384479478
7699.0,431.9403172,345.55225376,86.38806344
7700.0,405.686950192,324.549560154,81.1373900384
7701.0,374.641301906,299.713041525,74.9282603812
7702.0,277.029576803,221.623661442,55.4059153606
7703.0,459.29501593,367.436012744,91.859003186
7704.0,750.889952812,600.71196225,150.177990562
7705.0,729.795977657,583.836782126,145.959195531
7706.0,741.761797994,593.409438395,148.352359599
7707.0,740.769607253,592.615685802,148.153921451
7708.0,719.566491117,575.653192894,143.913298223
7709.0,714.764287931,571.811430345,142.952857586
7710.0,743.150865031,594.520692025,148.630173006
7711.0,800.5490994,640.43927952,160.10981988
7712.0,530.196966284,424.157573027,106.039393257
7713.0,762.657335,610.125868,152.531467
7714.0,810.55038207,648.440305656,162.110076414
7715.0,738.150223697,590.520178958,147.630044739
7716.0,584.559096985,467.647277588,116.911819397
7717.0,589.410909709,471.528727767,117.882181942
7718.0,627.114157868,501.691326294,125.422831574
7719.0,559.565812219,447.652649775,111.913162444
7720.0,486.659636568,389.327709254,97.3319273136
7721.0,436.911192813,349.52895425,87.3822385626
7722.0,415.04330888,332.034647104,83.008661776
7723.0,422.812162383,338.249729906,84.5624324766
7724.0,427.862413254,342.289930603,85.5724826508
7725.0,345.024408286,276.019526629,69.0048816572
7726.0,467.639340062,374.11147205,93.5278680124
7727.0,581.55275904,465.242207232,116.310551808
7728.0,727.464329416,581.971463533,145.492865883
7729.0,731.155278972,584.924223178,146.231055794
7730.0,729.74636812,583.797094496,145.949273624
7731.0,730.450823546,584.360658837,146.090164709
7732.0,705.030896761,564.024717409,141.006179352
7733.0,686.179272682,548.943418146,137.235854536
7734.0,707.560983151,566.048786521,141.51219663
7735.0,851.765985452,681.412788362,170.35319709
7736.0,736.255139381,589.004111505,147.251027876
7737.0,807.573809847,646.059047878,161.514761969
7738.0,751.31659483,601.053275864,150.263318966
7739.0,917.062058119,733.649646495,183.412411624
7740.0,837.498282596,669.998626077,167.499656519
7741.0,670.830081918,536.664065534,134.166016384
7742.0,563.088089349,450.470471479,112.61761787
7743.0,504.12219361,403.297754888,100.824438722
7744.0,484.77447416,387.819579328,96.954894832
7745.0,402.67069034,322.136552272,80.534138068
7746.0,427.961632328,342.369305862,85.5923264656
7747.0,423.457086364,338.765669091,84.6914172728
7748.0,413.049005491,330.439204393,82.6098010982
7749.0,367.060964644,293.648771715,73.4121929288
7750.0,382.807031704,306.245625363,76.5614063408
7751.0,559.228467367,447.382773894,111.845693473
7752.0,731.105669435,584.884535548,146.221133887
7753.0,733.834193973,587.067355178,146.766838795
7754.0,735.590371585,588.472297268,147.118074317
7755.0,724.934243026,579.947394421,144.986848605
7756.0,697.232277537,557.78582203,139.446455507
7757.0,684.700908477,547.760726782,136.940181695
7758.0,686.566227071,549.252981657,137.313245414
7759.0,737.961707456,590.369365965,147.592341491
7760.0,496.740294497,397.392235598,99.3480588994
7761.0,583.884407281,467.107525825,116.776881456
7762.0,722.562907155,578.050325724,144.512581431
7763.0,736.632171863,589.30573749,147.326434373
7764.0,721.729466933,577.383573546,144.345893387
7765.0,633.801523463,507.04121877,126.760304693
7766.0,572.107103185,457.685682548,114.421420637
7767.0,600.076960175,480.06156814,120.015392035
7768.0,568.535216518,454.828173214,113.707043304
7769.0,456.685554281,365.348443425,91.3371108562
7770.0,444.789187296,355.831349837,88.9578374592
7771.0,465.932771988,372.74621759,93.1865543976
7772.0,429.18202694,343.345621552,85.836405388
7773.0,376.645527202,301.316421762,75.3291054404
7774.0,404.873353785,323.898683028,80.974670757
7775.0,577.14743215,461.71794572,115.42948643
7776.0,770.12853128,616.102825024,154.025706256
7777.0,752.894178108,602.315342486,150.578835622
7778.0,754.372542313,603.49803385,150.874508463
7779.0,744.758214032,595.806571226,148.951642806
7780.0,726.958312138,581.56664971,145.391662428
7781.0,730.192853954,584.154283163,146.038570791
7782.0,733.268645251,586.614916201,146.65372905
7783.0,771.904552707,617.523642166,154.380910541
7784.0,523.767570282,419.014056226,104.753514056
7785.0,507.832986981,406.266389585,101.566597396
7786.0,503.368128647,402.694502918,100.673625729
7787.0,461.219865968,368.975892774,92.2439731936
7788.0,517.606065781,414.084852625,103.521213156
7789.0,514.61957165,411.69565732,102.92391433
7790.0,523.46991306,418.775930448,104.693982612
7791.0,534.58244936,427.665959488,106.916489872
7792.0,517.893801095,414.315040876,103.578760219
7793.0,454.998830022,363.999064018,90.9997660044
7794.0,433.468290941,346.774632753,86.6936581882
7795.0,448.370995871,358.696796697,89.6741991742
7796.0,415.420341362,332.33627309,83.0840682724
7797.0,375.266382072,300.213105658,75.0532764144
7798.0,377.508733147,302.006986518,75.5017466294
7799.0,585.858866856,468.687093485,117.171773371
7800.0,750.800655645,600.640524516,150.160131129
7801.0,761.804050963,609.44324077,152.360810193
7802.0,740.839060605,592.671248484,148.167812121
7803.0,745.363450384,596.290760307,149.072690077
7804.0,718.088126913,574.47050153,143.617625383
7805.0,714.496396431,571.597117145,142.899279286
7806.0,705.517070224,564.413656179,141.103414045
7807.0,649.726184856,519.780947885,129.945236971
7808.0,386.448371724,309.158697379,77.2896743448
7809.0,464.89097171,371.912777368,92.978194342
7810.0,588.517938042,470.814350434,117.703587608
7811.0,613.144112234,490.515289787,122.628822447
7812.0,538.055116953,430.444093562,107.611023391
7813.0,450.315689724,360.252551779,90.0631379448
7814.0,430.779454033,344.623563226,86.1558908066
