hour_ending,cooling,poolpump,plugload,other,total
4936.0,799.339548397,5468.018472,6182.92366164,14426.8218772,26877.1035592
4937.0,717.686279758,4548.617136,7053.55315788,16458.2907017,28778.1472754
4938.0,710.977396067,3177.580056,7920.57535926,18481.3425049,30290.4753163
4939.0,598.747712373,2419.4772,8684.86867935,20264.6935851,31967.7871769
4940.0,489.373167584,2209.789176,9365.9430453,21853.8671057,33918.9724946
4941.0,365.745291809,1774.28328,11264.3674562,26283.5240646,39687.9200926
4942.0,314.938094262,1274.257992,11382.4214146,26558.9833007,39530.6008016
4943.0,308.620907805,887.14164,10519.671089,24545.8992076,36261.3328444
4944.0,303.219046514,983.920728,9244.68384342,21570.928968,32102.7525859
4945.0,294.981434037,1048.44012,8107.85441958,18918.326979,28369.6029526
4946.0,243.048133739,806.4924,7555.48377228,17629.4621353,26234.4864413
4947.0,240.101663945,1016.180424,7225.9037886,16860.4421734,25342.6280499
4948.0,234.699802654,1161.349056,6913.39297221,16131.2502685,24440.6920994
4949.0,229.297941364,1145.219208,6816.11098341,15904.2589613,24094.8870941
4950.0,226.462190177,1532.33556,6734.88162309,15714.7237872,24208.4031605
4951.0,226.462190177,2822.7234,5800.24097247,13533.8956024,22383.3221651
4952.0,232.528624809,3693.735192,5925.29811369,13825.6955986,23677.2575291
4953.0,298.141481948,4516.35744,5938.44396279,13856.3692465,24609.3121312
4954.0,272.12717001,6209.99148,5823.39562965,13587.9231359,25893.4374155
4955.0,348.467927687,7484.249472,5800.5549024,13534.6281056,27167.9004077
4956.0,368.725328104,8097.183696,5808.96892806,13554.2608321,27829.1387843
4957.0,432.117442222,7532.639016,6243.78805071,14568.838785,28777.3832939
4958.0,536.880096247,7242.301752,6678.34131927,15582.7964116,30040.3195791
4959.0,538.491454092,6548.718288,6934.19315949,16179.7840388,30201.1869404
4960.0,546.454706199,5468.018472,7523.91326259,17555.7976127,31094.1840535
4961.0,613.60188571,4548.617136,8048.41318611,18779.6307676,31990.2629754
4962.0,522.543165533,3177.580056,8716.26082965,20337.9419359,32754.325987
4963.0,503.791125956,2419.4772,9070.49520387,21164.488809,33158.2523389
4964.0,380.537233699,2209.789176,9404.36943558,21943.528683,33938.2245283
4965.0,312.699676246,1774.28328,11231.2829272,26206.3268302,39524.5927137
4966.0,301.506581763,1274.257992,11557.3142993,26967.0666984,40100.1455715
4967.0,292.145682851,887.14164,10780.6503873,25154.8509037,37114.7886139
4968.0,240.60731481,983.920728,9413.73485907,21965.3813378,32603.6442397
4969.0,278.395490476,1048.44012,8182.6458165,19092.8402385,28602.3216655
4970.0,229.80359223,806.4924,7549.84456182,17616.3039776,26202.4445316
4971.0,227.980408871,1016.180424,7151.54848974,16686.9464761,25082.6557987
4972.0,271.302123143,1161.349056,6878.83474674,16050.6144091,24362.1003349
4973.0,273.163852648,1145.219208,6839.44712328,15958.7099543,24216.5401382
4974.0,269.159275443,1532.33556,6736.44127776,15718.3629814,24256.2990946
4975.0,267.016427744,2822.7234,5899.57914987,13765.684683,22755.0036606
4976.0,269.852178931,3693.735192,5565.87487518,12987.0413754,22516.5036215
4977.0,274.110134862,4516.35744,5840.08351068,13626.8615249,24257.4126105
4978.0,287.179834649,6209.99148,5713.02934233,13330.4017988,25540.6024557
4979.0,440.392953347,7484.249472,5700.69426075,13301.6199418,26926.9566278
4980.0,469.50651649,8097.183696,5611.40032713,13093.26743,27271.3579696
4981.0,485.558785595,7532.639016,5903.05276536,13773.7897858,27695.0403528
4982.0,499.617110368,7242.301752,6082.7822331,14193.1585439,28017.8596394
4983.0,506.121385785,6548.718288,6867.06299577,16023.1469901,29945.0496597
4984.0,509.769350077,5468.018472,7623.13149531,17787.3068224,31388.2261398
4985.0,414.722830961,4548.617136,8530.01059953,19903.3580656,33396.7086321
4986.0,405.141354682,3177.580056,9420.06769962,21980.1579658,34982.9470761
4987.0,385.017396972,2419.4772,9749.25363996,22748.2584932,35302.0067302
4988.0,319.278782595,2209.789176,10101.9614912,23571.2434795,36202.2729293
4989.0,255.259383687,1774.28328,12204.1198572,28476.2796667,42709.9421876
4990.0,246.278817184,1274.257992,11932.200348,27841.8008119,41294.5379691
4991.0,188.958228162,887.14164,10643.1064489,24833.9150473,36553.1213644
4992.0,186.502836667,983.920728,8990.22258771,20977.186038,31137.8321904
4993.0,183.577325581,1048.44012,7981.21374477,18622.8320711,27836.0632615
4994.0,181.434477881,806.4924,7511.53171818,17526.9073424,26026.3659385
4995.0,180.4604562,1016.180424,7172.44717332,16735.7100711,25104.7981246
4996.0,178.252673721,1161.349056,6874.56199071,16040.644645,24254.8083654
4997.0,178.252673721,1145.219208,6834.17481726,15946.4079069,24104.0546059
4998.0,178.252673721,1532.33556,6974.82180663,16274.5842155,24959.9942558
4999.0,178.252673721,2822.7234,6114.7559169,14267.7638061,23383.4957967
5000.0,224.389180471,3693.735192,5747.21413674,13410.1663191,23075.5048283
5001.0,226.551423367,4516.35744,5489.57821038,12809.0158242,23041.502898
5002.0,283.097826197,6209.99148,4939.35785358,11525.168325,22957.6154848
5003.0,295.037087435,7484.249472,4786.264896,11167.951424,23733.5028794
5004.0,350.425165201,8097.183696,4809.38050323,11221.8878409,24478.8772053
5005.0,551.415576417,7532.639016,5291.82448218,12347.5904584,25723.469533
5006.0,673.346768781,7242.301752,5645.81131716,13173.55974,26735.019578
5007.0,697.87532443,6548.718288,6157.42889784,14367.334095,27771.3566052
5008.0,697.986856363,5468.018472,7036.40055699,16418.2679663,29620.6738517
5009.0,602.379992526,4548.617136,8116.26645918,18937.9550714,32205.2186591
5010.0,586.896469737,3177.580056,9307.81117767,21718.2260812,34790.5137846
5011.0,389.833230233,2419.4772,10105.9858062,23580.6335478,36495.9297842
5012.0,331.427115842,2209.789176,10533.9950693,24579.3218283,37654.5331894
5013.0,311.50230242,1774.28328,12857.9168205,30001.8059144,44945.5083173
5014.0,296.940284079,1274.257992,12703.7334784,29642.044783,43916.9765375
5015.0,286.247280107,887.14164,11283.5155231,26328.2028873,38785.1073306
5016.0,278.00966763,983.920728,9718.24461618,22675.9041044,33656.0791162
5017.0,274.116915621,1048.44012,8471.14405239,19766.0027889,29559.7038769
5018.0,271.274383675,806.4924,7693.17895038,17950.7508842,26721.6966183
5019.0,265.822127773,1016.180424,7261.82754129,16944.264263,25488.0943561
5020.0,265.977471284,1161.349056,7032.24428937,16408.5700085,24868.1408252
5021.0,219.840964534,1145.219208,6969.94658682,16263.2087026,24598.2154619
5022.0,265.977471284,1532.33556,7177.11246819,16746.5957591,25722.0212586
5023.0,219.840964534,2822.7234,6205.07496183,14478.5082443,23726.1475706
5024.0,266.923753498,3693.735192,5727.82639032,13364.9282441,23053.4135799
5025.0,223.715672181,4516.35744,5355.81466464,12496.9008842,22592.788661
5026.0,277.91990773,6209.99148,5014.80750933,11701.2175218,23203.9364188
5027.0,245.309650532,7484.249472,4742.53259904,11065.9093978,23538.0011193
5028.0,321.758931919,8097.183696,4803.15867024,11207.3702306,24429.4715287
5029.0,391.811243686,7532.639016,5226.78635607,12195.8348308,25347.0714466
5030.0,594.12240165,7242.301752,5980.37220129,13954.201803,27770.9981579
5031.0,600.771036115,6548.718288,6563.27750268,15314.3141729,29027.0809997
5032.0,602.780794186,5468.018472,7398.05892045,17262.1374811,30730.9956677
5033.0,698.614849995,4548.617136,8119.93580529,18946.516879,32313.6846703
5034.0,586.333246391,3177.580056,9288.73408389,21673.7128624,34726.3602487
5035.0,491.0789521,2419.4772,9566.20999074,22321.1566451,34797.9227879
5036.0,339.57124407,2209.789176,10350.7248905,24151.6914113,37051.7767219
5037.0,268.381629918,1774.28328,12646.3647667,29508.1844555,44197.2141321
5038.0,177.241919335,1274.257992,12410.1165247,28956.9385576,42818.5549936
5039.0,199.761950743,887.14164,11008.3684635,25686.1930814,37781.4651356
5040.0,188.674014512,983.920728,9442.11608955,22031.6042089,32646.315041
5041.0,185.727544718,1048.44012,8340.78303273,19461.8270764,29036.7777738
5042.0,180.325683427,806.4924,7754.29996011,18093.3665736,26834.4846171
5043.0,175.36804325,1016.180424,7197.02737572,16793.0638767,25181.6397197
5044.0,174.894124541,1161.349056,7012.91431806,16363.4667421,24712.6242407
5045.0,137.613857779,1145.219208,6995.22369438,16322.1886202,24600.2453804
5046.0,137.613857779,1532.33556,7159.46493471,16705.418181,25534.8325335
5047.0,133.265231422,2822.7234,6006.82134309,14015.9164672,22978.7264417
5048.0,134.304187883,3693.735192,5962.58837613,13912.706211,23703.333967
5049.0,176.536869268,4516.35744,5524.37625363,12890.2112585,23107.4818214
5050.0,194.740449143,6209.99148,5242.05247704,12231.4557798,23878.2401859
5051.0,262.591724299,7484.249472,5124.86172585,11958.0106936,24829.7136158
5052.0,329.044844022,8097.183696,5528.02216581,12898.7183869,26852.9690927
5053.0,495.241216422,7532.639016,5858.45295282,13669.7235566,27556.0567418
